"titulo","valor","endereço","url"
"iPhone 11","2800.0","Anápolis, Alvorada","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64-gb-passo-maquininha-de-cartao-com-acrescimo-da-operadora-1034006644"
"iPhone 11","3000.0","Goiânia, Vila Romana","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64-gb-3-mil-1030980911"
"Iphone 11","3399.0","Goiânia, Jardim Novo Mundo","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-128gb-leia-a-descricao-1028487306"
"iPhone 11","3100.0","Aparecida de Goiânia, Parque Real de Goiânia","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64gb-na-garantia-da-apple-1017424469"
"iPhone 11","3400.0","Goiânia, Vila Redenção","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-pro-1034714773"
"iPhone 11","3100.0","Anápolis, Centro","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-128gb-semi-novo-1031483272"
"IPhone 11","3150.0","Goiânia, Setor Campinas","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64gb-branco-1032333801"
"iPhone 11","2900.0","Trindade, Jardim das Tamareiras","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-1033038696"
"iPhone 11","3000.0","Goiânia, Jardim Novo Mundo","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64gb-semi-novo-saude-da-bateria-86-r-3-000-00-1034820641"
"iPhone 11","3000.0","Goiânia, Jardim Novo Mundo","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-semi-novo-1033024354"
"iPhone 11","2850.0","Goiânia, Setor Leste Universitário","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-impecavel-1030895107"
"IPHONE 11","2900.0","Goiânia, Solange Parque I","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64-gb-1034870081"
"iPhone 11","2850.0","Goiânia, Setor Oeste","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64gb-1034003990"
"iPhone 11","3300.0","Goiânia, Setor Marista","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-128gb-1016981997"
"iPhone 11","2950.0","Goiânia, Residencial Guarema","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-1028550709"
"IPHONE 11","2400.0","Goiânia, Goiânia 2","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64-gb-preto-urgente-preciso-verde-rapido-1035483411"
"iPhone 11","3200.0","Goiânia, Cidade Jardim","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-128gb-1033858969"
"Iphone 11","2900.0","Goiânia, Jardim das Hortências","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64gb-1032135844"
"IPhone 11","2700.0","Goiânia, Setor Bueno","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64gb-oportunidade-1036413608"
"Iphone 11","3400.0","Goiânia, Moinho dos Ventos","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-128gb-1036405912"
"iPhone 11","2500.0","Goiânia, Residencial Serra Azul Etapa I","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64gb-so-venda-1028655340"
"IPhone 11","3200.0","Goiânia, Vila Concórdia","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-pro-64gb-1029722673"
"IPhone 11","2900.0","Aparecida de Goiânia, Vila Brasília","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-branco-64gb-1033124778"
"iPhone 11","3249.0","Goiânia, Loteamento Celina Park","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-pro-1027508354"
"iPhone 11","3300.0","Jaraguá","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64bg-1017347940"
"iPhone 11","3200.0","Aparecida de Goiânia, Parque Trindade","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64g-branco-1031724637"
"iPhone 11","3000.0","Goiânia, Chácaras de Recreio São Joaquim","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-1031007403"
"Iphone 11","2900.0","Goiânia, Jardim Nova Esperança","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-1034867076"
"iPhone 11","3300.0","","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-pro-64g-usado-1036386166"
